student_id,question_id,question,student_answer,correct_answer,subject,topic,subtopic,concept,result,is_correct,error_type,misconception
S001,Q01,Solve for x: 2x + 4 = 10,x = 7,x = 3,Mathematics,Algebra,Linear Equations,Linear Equations,incorrect,0,Arithmetic error,Arithmetic error
S001,Q02,Solve for x: 3x - 6 = 9,x = 5,x = 5,Mathematics,Algebra,Linear Equations,Linear Equations,correct,1,,
S001,Q03,Solve for x: x/2 + 3 = 7,x = 8,x = 8,Mathematics,Algebra,Linear Equations,Linear Equations,correct,1,,
S001,Q04,Solve for x: 5x = 25,x = 125,x = 5,Mathematics,Algebra,Linear Equations,Linear Equations,incorrect,0,Division error,Division error
S001,Q05,Factor: x² + 5x + 6,(x+1)(x+6),(x+2)(x+3),Mathematics,Algebra,Factorization,Factorization,incorrect,0,Incorrect factor-pair selection,Incorrect factor-pair selection
S001,Q06,Factor: x² + 7x + 12,(x+1)(x+12),(x+3)(x+4),Mathematics,Algebra,Factorization,Factorization,incorrect,0,Incorrect factor-pair selection,Incorrect factor-pair selection
S001,Q07,Factor: x² - 9,(x+3)(x-3),(x+3)(x-3),Mathematics,Algebra,Factorization,Factorization,correct,1,,
S001,Q08,Factor: 2x² + 6x,2x(x+3),2x(x+3),Mathematics,Algebra,Factorization,Factorization,correct,1,,
S001,Q09,Solve: x² - 5x + 6 = 0,"x = -2, x = -3","x = 2, x = 3",Mathematics,Algebra,Quadratic Equations,Quadratic Equations,incorrect,0,Sign error in roots,Sign error in roots
S001,Q10,What is the discriminant of x² + 4x + 4 = 0?,16,0,Mathematics,Algebra,Quadratic Equations,Quadratic Equations,incorrect,0,Discriminant formula error,Discriminant formula error
S001,Q11,Solve: x² = 16,x = 8,"x = 4, x = -4",Mathematics,Algebra,Quadratic Equations,Quadratic Equations,incorrect,0,Missing negative root,Missing negative root
S001,Q12,Solve using quadratic formula: x² - 3x - 10 = 0,"x = 5, x = -2","x = 5, x = -2",Mathematics,Algebra,Quadratic Equations,Quadratic Equations,correct,1,,
S001,Q13,"If f(x) = 2x + 1, find f(3)",7,7,Mathematics,Functions,Functions,Functions,correct,1,,
S001,Q14,What is the domain of f(x) = 1/x?,x ≥ 0,All real numbers except 0,Mathematics,Functions,Functions,Functions,incorrect,0,Domain restriction oversight,Domain restriction oversight
S001,Q15,"If f(x) = x² and g(x) = x+1, find f(g(2))",9,9,Mathematics,Functions,Functions,Functions,correct,1,,
S001,Q16,Find the y-intercept of f(x) = 3x - 6,6,-6,Mathematics,Functions,Functions,Functions,incorrect,0,Intercept identification error,Intercept identification error
S001,Q17,Solve: 2x + 3 > 7,x > 2,x > 2,Mathematics,Algebra,Inequalities,Inequalities,correct,1,,
S001,Q18,Solve: -3x < 9,x < -3,x > -3,Mathematics,Algebra,Inequalities,Inequalities,incorrect,0,Sign flip with negative division,Sign flip with negative division
S001,Q19,Solve: |x| ≤ 5,x ≤ 5,-5 ≤ x ≤ 5,Mathematics,Algebra,Inequalities,Inequalities,incorrect,0,Absolute value misunderstanding,Absolute value misunderstanding
S001,Q20,Graph the solution: x ≥ -2,"Open circle at -2, shade right","Closed circle at -2, shade right",Mathematics,Algebra,Inequalities,Inequalities,incorrect,0,Inequality symbol confusion,Inequality symbol confusion
S002,Q01,Solve for x: 2x + 4 = 10,x = 3,x = 3,Mathematics,Algebra,Linear Equations,Linear Equations,correct,1,,
S002,Q02,Solve for x: 3x - 6 = 9,x = 1,x = 5,Mathematics,Algebra,Linear Equations,Linear Equations,incorrect,0,Sign error,Sign error
S002,Q03,Solve for x: x/2 + 3 = 7,x = 8,x = 8,Mathematics,Algebra,Linear Equations,Linear Equations,correct,1,,
S002,Q04,Solve for x: 5x = 25,x = 5,x = 5,Mathematics,Algebra,Linear Equations,Linear Equations,correct,1,,
S002,Q05,Factor: x² + 5x + 6,(x+1)(x+6),(x+2)(x+3),Mathematics,Algebra,Factorization,Factorization,incorrect,0,Incorrect factor-pair selection,Incorrect factor-pair selection
S002,Q06,Factor: x² + 7x + 12,(x+3)(x+4),(x+3)(x+4),Mathematics,Algebra,Factorization,Factorization,correct,1,,
S002,Q07,Factor: x² - 9,(x+3)(x-3),(x+3)(x-3),Mathematics,Algebra,Factorization,Factorization,correct,1,,
S002,Q08,Factor: 2x² + 6x,x(2x+6),2x(x+3),Mathematics,Algebra,Factorization,Factorization,incorrect,0,Incomplete factoring,Incomplete factoring
S002,Q09,Solve: x² - 5x + 6 = 0,"x = -2, x = -3","x = 2, x = 3",Mathematics,Algebra,Quadratic Equations,Quadratic Equations,incorrect,0,Sign error in roots,Sign error in roots
S002,Q10,What is the discriminant of x² + 4x + 4 = 0?,8,0,Mathematics,Algebra,Quadratic Equations,Quadratic Equations,incorrect,0,Discriminant formula error,Discriminant formula error
S002,Q11,Solve: x² = 16,x = 256,"x = 4, x = -4",Mathematics,Algebra,Quadratic Equations,Quadratic Equations,incorrect,0,Missing negative root,Missing negative root
S002,Q12,Solve using quadratic formula: x² - 3x - 10 = 0,"x = 5, x = -2","x = 5, x = -2",Mathematics,Algebra,Quadratic Equations,Quadratic Equations,correct,1,,
S002,Q13,"If f(x) = 2x + 1, find f(3)",7,7,Mathematics,Functions,Functions,Functions,correct,1,,
S002,Q14,What is the domain of f(x) = 1/x?,x > 0,All real numbers except 0,Mathematics,Functions,Functions,Functions,incorrect,0,Domain restriction oversight,Domain restriction oversight
S002,Q15,"If f(x) = x² and g(x) = x+1, find f(g(2))",9,9,Mathematics,Functions,Functions,Functions,correct,1,,
S002,Q16,Find the y-intercept of f(x) = 3x - 6,-6,-6,Mathematics,Functions,Functions,Functions,correct,1,,
S002,Q17,Solve: 2x + 3 > 7,x > 2,x > 2,Mathematics,Algebra,Inequalities,Inequalities,correct,1,,
S002,Q18,Solve: -3x < 9,x < -3,x > -3,Mathematics,Algebra,Inequalities,Inequalities,incorrect,0,Sign flip with negative division,Sign flip with negative division
S002,Q19,Solve: |x| ≤ 5,-5 ≤ x ≤ 5,-5 ≤ x ≤ 5,Mathematics,Algebra,Inequalities,Inequalities,correct,1,,
S002,Q20,Graph the solution: x ≥ -2,"Closed circle at -2, shade right","Closed circle at -2, shade right",Mathematics,Algebra,Inequalities,Inequalities,correct,1,,
S003,Q01,Solve for x: 2x + 4 = 10,x = 3,x = 3,Mathematics,Algebra,Linear Equations,Linear Equations,correct,1,,
S003,Q02,Solve for x: 3x - 6 = 9,x = 15,x = 5,Mathematics,Algebra,Linear Equations,Linear Equations,incorrect,0,Sign error,Sign error
S003,Q03,Solve for x: x/2 + 3 = 7,x = 4,x = 8,Mathematics,Algebra,Linear Equations,Linear Equations,incorrect,0,Order of operations,Order of operations
S003,Q04,Solve for x: 5x = 25,x = 5,x = 5,Mathematics,Algebra,Linear Equations,Linear Equations,correct,1,,
S003,Q05,Factor: x² + 5x + 6,(x+2)(x+3),(x+2)(x+3),Mathematics,Algebra,Factorization,Factorization,correct,1,,
S003,Q06,Factor: x² + 7x + 12,(x+2)(x+6),(x+3)(x+4),Mathematics,Algebra,Factorization,Factorization,incorrect,0,Incorrect factor-pair selection,Incorrect factor-pair selection
